#Coverage	Number of genomic locations
0.0	2.985711346E9
1.0	4.1967054E7
2.0	1.04494128E8
3.0	1761278.0
4.0	2789754.0
5.0	87771.0
6.0	100984.0
7.0	27192.0
8.0	25534.0
9.0	17136.0
10.0	14805.0
11.0	12307.0
12.0	11564.0
13.0	8235.0
14.0	7930.0
15.0	6955.0
16.0	7364.0
17.0	6570.0
18.0	6202.0
19.0	5641.0
20.0	5867.0
21.0	4923.0
22.0	4334.0
23.0	3865.0
24.0	3307.0
25.0	3354.0
26.0	3356.0
27.0	3081.0
28.0	2869.0
29.0	2633.0
30.0	2519.0
31.0	2042.0
32.0	2143.0
33.0	1892.0
34.0	1839.0
35.0	1731.0
36.0	1735.0
37.0	1380.0
38.0	1438.0
39.0	1218.0
40.0	1238.0
41.0	1111.0
42.0	1124.0
43.0	1079.0
44.0	1043.0
45.0	892.0
46.0	795.0
47.0	713.0
48.0	757.0
49.0	683.0
50.0	794.0
51.0	574.0
52.0	712.0
53.0	524.0
54.0	603.0
55.0	501.0
56.0	482.0
57.0	444.0
58.0	434.0
59.0	535.0
60.0	454.0
61.0	394.0
62.0	405.0
63.0	429.0
64.0	374.0
65.0	389.0
66.0	365.0
67.0	403.0
68.0	379.0
69.0	433.0
70.0	402.0
71.0	367.0
72.0	297.0
73.0	331.0
74.0	251.0
75.0	270.0
76.0	315.0
77.0	270.0
78.0	297.0
79.0	282.0
80.0	263.0
81.0	226.0
82.0	300.0
83.0	268.0
84.0	228.0
85.0	260.0
86.0	248.0
87.0	314.0
88.0	274.0
89.0	239.0
90.0	174.0
91.0	179.0
92.0	197.0
93.0	150.0
94.0	182.0
95.0	171.0
96.0	148.0
97.0	118.0
98.0	143.0
99.0	138.0
100.0	126.0
101.0	115.0
102.0	140.0
103.0	124.0
104.0	163.0
105.0	103.0
106.0	141.0
107.0	125.0
108.0	96.0
109.0	117.0
110.0	86.0
111.0	77.0
112.0	79.0
113.0	91.0
114.0	98.0
115.0	96.0
116.0	87.0
117.0	76.0
118.0	64.0
119.0	96.0
120.0	73.0
121.0	91.0
122.0	84.0
123.0	84.0
124.0	101.0
125.0	84.0
126.0	101.0
127.0	82.0
128.0	101.0
129.0	78.0
130.0	92.0
131.0	95.0
132.0	64.0
133.0	50.0
134.0	50.0
135.0	40.0
136.0	38.0
137.0	52.0
138.0	54.0
139.0	32.0
140.0	26.0
141.0	31.0
142.0	35.0
143.0	26.0
144.0	31.0
145.0	42.0
146.0	31.0
147.0	15.0
148.0	59.0
149.0	21.0
150.0	43.0
151.0	41.0
152.0	57.0
153.0	19.0
154.0	12.0
155.0	31.0
156.0	27.0
157.0	26.0
158.0	27.0
159.0	27.0
160.0	21.0
161.0	26.0
162.0	24.0
163.0	28.0
164.0	24.0
165.0	17.0
166.0	23.0
167.0	41.0
168.0	26.0
169.0	41.0
170.0	39.0
171.0	31.0
172.0	50.0
173.0	44.0
174.0	41.0
175.0	35.0
176.0	25.0
177.0	40.0
178.0	33.0
179.0	42.0
180.0	53.0
181.0	47.0
182.0	38.0
183.0	44.0
184.0	41.0
185.0	33.0
186.0	34.0
187.0	30.0
188.0	24.0
189.0	33.0
190.0	31.0
191.0	43.0
192.0	46.0
193.0	51.0
194.0	26.0
195.0	20.0
196.0	18.0
197.0	17.0
198.0	27.0
199.0	20.0
200.0	29.0
201.0	24.0
202.0	28.0
203.0	33.0
204.0	21.0
205.0	28.0
206.0	21.0
207.0	20.0
208.0	34.0
209.0	38.0
210.0	24.0
211.0	41.0
212.0	31.0
213.0	33.0
214.0	46.0
215.0	30.0
216.0	35.0
217.0	33.0
218.0	45.0
219.0	38.0
220.0	24.0
221.0	36.0
222.0	16.0
223.0	23.0
224.0	22.0
225.0	25.0
226.0	23.0
227.0	22.0
228.0	43.0
229.0	46.0
230.0	27.0
231.0	30.0
232.0	40.0
233.0	24.0
234.0	33.0
235.0	23.0
236.0	24.0
237.0	23.0
238.0	16.0
239.0	17.0
240.0	20.0
241.0	26.0
242.0	33.0
243.0	29.0
244.0	31.0
245.0	26.0
246.0	16.0
247.0	22.0
248.0	18.0
249.0	14.0
250.0	17.0
251.0	17.0
252.0	16.0
253.0	13.0
254.0	20.0
255.0	17.0
256.0	23.0
257.0	21.0
258.0	12.0
259.0	23.0
260.0	23.0
261.0	24.0
262.0	24.0
263.0	26.0
264.0	18.0
265.0	18.0
266.0	20.0
267.0	24.0
268.0	39.0
269.0	27.0
270.0	16.0
271.0	17.0
272.0	24.0
273.0	17.0
274.0	19.0
275.0	13.0
276.0	24.0
277.0	13.0
278.0	19.0
279.0	27.0
280.0	29.0
281.0	24.0
282.0	31.0
283.0	41.0
284.0	50.0
285.0	42.0
286.0	27.0
287.0	34.0
288.0	26.0
289.0	29.0
290.0	16.0
291.0	34.0
292.0	26.0
293.0	37.0
294.0	26.0
295.0	22.0
296.0	26.0
297.0	17.0
298.0	20.0
299.0	29.0
300.0	14.0
301.0	29.0
302.0	22.0
303.0	28.0
304.0	18.0
305.0	16.0
306.0	28.0
307.0	18.0
308.0	23.0
309.0	13.0
310.0	18.0
311.0	16.0
312.0	12.0
313.0	10.0
314.0	11.0
315.0	14.0
316.0	11.0
317.0	16.0
318.0	10.0
319.0	9.0
320.0	12.0
321.0	10.0
322.0	16.0
323.0	9.0
324.0	9.0
325.0	7.0
326.0	8.0
327.0	13.0
328.0	15.0
329.0	18.0
330.0	16.0
331.0	26.0
332.0	15.0
333.0	15.0
334.0	9.0
335.0	15.0
336.0	7.0
337.0	9.0
338.0	9.0
339.0	15.0
340.0	22.0
341.0	7.0
342.0	15.0
343.0	21.0
344.0	12.0
345.0	14.0
346.0	16.0
347.0	19.0
348.0	12.0
349.0	4.0
350.0	9.0
351.0	7.0
352.0	7.0
353.0	3.0
354.0	4.0
355.0	3.0
356.0	7.0
357.0	7.0
358.0	10.0
359.0	8.0
360.0	3.0
361.0	5.0
362.0	11.0
363.0	4.0
364.0	5.0
365.0	7.0
366.0	10.0
367.0	7.0
368.0	9.0
369.0	10.0
370.0	6.0
371.0	2.0
372.0	5.0
373.0	4.0
374.0	5.0
375.0	4.0
376.0	5.0
377.0	3.0
378.0	3.0
379.0	1.0
380.0	4.0
381.0	5.0
382.0	2.0
383.0	4.0
384.0	5.0
385.0	1.0
386.0	2.0
387.0	4.0
388.0	8.0
389.0	3.0
390.0	2.0
391.0	7.0
392.0	3.0
393.0	1.0
394.0	1.0
395.0	1.0
396.0	1.0
397.0	3.0
398.0	1.0
399.0	4.0
401.0	1.0
402.0	3.0
403.0	1.0
404.0	3.0
408.0	2.0
410.0	1.0
411.0	1.0
412.0	2.0
414.0	2.0
415.0	2.0
417.0	2.0
418.0	1.0
420.0	2.0
421.0	3.0
422.0	4.0
423.0	2.0
424.0	2.0
425.0	1.0
426.0	6.0
427.0	2.0
428.0	5.0
429.0	5.0
431.0	2.0
432.0	2.0
433.0	2.0
434.0	3.0
435.0	4.0
436.0	6.0
438.0	4.0
439.0	2.0
441.0	1.0
442.0	2.0
444.0	1.0
445.0	2.0
446.0	3.0
447.0	1.0
448.0	1.0
449.0	2.0
452.0	5.0
453.0	3.0
454.0	2.0
455.0	5.0
456.0	2.0
457.0	9.0
458.0	3.0
459.0	4.0
460.0	3.0
461.0	3.0
462.0	5.0
463.0	3.0
464.0	2.0
465.0	5.0
467.0	7.0
471.0	4.0
472.0	3.0
474.0	4.0
475.0	2.0
476.0	5.0
477.0	2.0
478.0	2.0
479.0	1.0
482.0	2.0
487.0	1.0
488.0	2.0
490.0	3.0
491.0	1.0
492.0	1.0
494.0	3.0
495.0	1.0
497.0	1.0
498.0	1.0
499.0	1.0
500.0	1.0
501.0	1.0
504.0	3.0
505.0	4.0
506.0	1.0
507.0	1.0
511.0	1.0
513.0	2.0
517.0	3.0
518.0	1.0
519.0	1.0
520.0	1.0
522.0	1.0
524.0	2.0
528.0	1.0
529.0	1.0
533.0	1.0
534.0	1.0
535.0	2.0
536.0	1.0
539.0	3.0
540.0	2.0
541.0	2.0
542.0	3.0
545.0	3.0
546.0	1.0
548.0	2.0
549.0	3.0
552.0	1.0
553.0	1.0
554.0	1.0
555.0	2.0
556.0	3.0
557.0	1.0
563.0	2.0
564.0	1.0
565.0	3.0
566.0	3.0
567.0	1.0
572.0	1.0
573.0	1.0
581.0	1.0
584.0	1.0
586.0	1.0
588.0	1.0
594.0	1.0
600.0	1.0
601.0	1.0
612.0	1.0
613.0	1.0
617.0	1.0
621.0	1.0
623.0	1.0
624.0	1.0
626.0	2.0
628.0	1.0
629.0	1.0
630.0	1.0
631.0	1.0
632.0	2.0
634.0	1.0
639.0	1.0
647.0	1.0
648.0	1.0
649.0	1.0
650.0	1.0
657.0	1.0
660.0	1.0
661.0	2.0
664.0	2.0
