#Duplication rate	Coverage
1.0	1491202.0
2.0	180616.0
3.0	2003.0
4.0	1110.0
5.0	400.0
6.0	217.0
7.0	161.0
8.0	87.0
9.0	73.0
10.0	45.0
11.0	47.0
12.0	26.0
13.0	23.0
14.0	15.0
15.0	13.0
16.0	14.0
17.0	6.0
18.0	3.0
19.0	5.0
20.0	3.0
21.0	2.0
22.0	2.0
23.0	4.0
24.0	3.0
25.0	5.0
26.0	6.0
27.0	0.0
28.0	1.0
29.0	1.0
30.0	0.0
31.0	2.0
32.0	1.0
33.0	0.0
34.0	2.0
35.0	2.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	1.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	1.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	1.0
50.0	1.0
