#Insert size (bp)	insert size
15.0	1.0
16.0	4.0
17.0	1.0
18.0	1.0
19.0	5.0
20.0	1.0
21.0	2.0
22.0	1.0
25.0	3.0
26.0	4.0
27.0	3.0
28.0	1.0
29.0	3.0
30.0	4.0
31.0	6.0
32.0	2.0
33.0	5.0
34.0	3.0
35.0	7.0
36.0	9.0
37.0	9.0
38.0	11.0
39.0	14.0
40.0	16.0
41.0	17.0
42.0	24.0
43.0	21.0
44.0	24.0
45.0	48.0
46.0	28.0
47.0	60.0
48.0	61.0
49.0	93.0
50.0	68.0
51.0	75.0
52.0	80.0
53.0	68.0
54.0	72.0
55.0	94.0
56.0	95.0
57.0	105.0
58.0	133.0
59.0	143.0
60.0	191.0
61.0	152.0
62.0	173.0
63.0	124.0
64.0	171.0
65.0	166.0
66.0	200.0
67.0	216.0
68.0	212.0
69.0	266.0
70.0	300.0
71.0	301.0
72.0	299.0
73.0	279.0
74.0	327.0
75.0	412.0
76.0	448.0
77.0	400.0
78.0	441.0
79.0	504.0
80.0	596.0
81.0	656.0
82.0	521.0
83.0	559.0
84.0	573.0
85.0	644.0
86.0	669.0
87.0	622.0
88.0	575.0
89.0	613.0
90.0	724.0
91.0	891.0
92.0	893.0
93.0	776.0
94.0	685.0
95.0	721.0
96.0	770.0
97.0	773.0
98.0	836.0
99.0	945.0
100.0	946.0
101.0	1048.0
102.0	987.0
103.0	956.0
104.0	921.0
105.0	871.0
106.0	955.0
107.0	983.0
108.0	1133.0
109.0	1196.0
110.0	1363.0
111.0	1418.0
112.0	1404.0
113.0	1219.0
114.0	1170.0
115.0	1149.0
116.0	1217.0
117.0	1239.0
118.0	1335.0
119.0	1469.0
120.0	1795.0
121.0	2135.0
122.0	2468.0
123.0	2289.0
124.0	1890.0
125.0	1539.0
126.0	1429.0
127.0	1556.0
128.0	1702.0
129.0	1794.0
130.0	2057.0
131.0	2538.0
132.0	3205.0
133.0	3809.0
134.0	4114.0
135.0	3556.0
136.0	3255.0
137.0	3362.0
138.0	3896.0
139.0	4751.0
140.0	5769.0
141.0	6532.0
142.0	6873.0
143.0	7050.0
144.0	7098.0
145.0	7224.0
146.0	7125.0
147.0	7202.0
148.0	7627.0
149.0	8315.0
