#Mapping quality	mapping quality
0.0	858858.0
1.0	3998803.0
2.0	482754.0
3.0	232891.0
4.0	61729.0
5.0	30547.0
6.0	2317462.0
7.0	153721.0
8.0	295782.0
9.0	17786.0
10.0	13428.0
11.0	98817.0
12.0	326205.0
13.0	11447.0
14.0	61563.0
15.0	85681.0
16.0	60730.0
17.0	249966.0
18.0	278741.0
19.0	12766.0
20.0	10050.0
21.0	293795.0
22.0	457938.0
23.0	1060219.0
24.0	1335349.0
25.0	382974.0
26.0	584932.0
27.0	523650.0
28.0	21716.0
29.0	23036.0
30.0	622906.0
31.0	436174.0
32.0	471426.0
33.0	230539.0
34.0	456501.0
35.0	605615.0
36.0	666748.0
37.0	943821.0
38.0	1094586.0
39.0	1085729.0
40.0	2720689.0
41.0	119562.0
42.0	1.33260725E8
