#Coverage	Number of genomic locations
0.0	2.681171941E9
1.0	1.92230267E8
2.0	2.28332742E8
3.0	2.0153283E7
4.0	1.3220653E7
5.0	1230442.0
6.0	599445.0
7.0	69359.0
8.0	35711.0
9.0	10811.0
10.0	9771.0
11.0	5843.0
12.0	6274.0
13.0	4224.0
14.0	4419.0
15.0	2987.0
16.0	3394.0
17.0	2437.0
18.0	2391.0
19.0	2512.0
20.0	2267.0
21.0	2201.0
22.0	1820.0
23.0	1591.0
24.0	2100.0
25.0	1559.0
26.0	1612.0
27.0	1409.0
28.0	1298.0
29.0	1113.0
30.0	1117.0
31.0	1199.0
32.0	1291.0
33.0	1140.0
34.0	977.0
35.0	858.0
36.0	932.0
37.0	850.0
38.0	793.0
39.0	673.0
40.0	720.0
41.0	714.0
42.0	647.0
43.0	720.0
44.0	851.0
45.0	873.0
46.0	811.0
47.0	930.0
48.0	833.0
49.0	799.0
50.0	714.0
51.0	606.0
52.0	591.0
53.0	590.0
54.0	628.0
55.0	636.0
56.0	616.0
57.0	622.0
58.0	538.0
59.0	548.0
60.0	412.0
61.0	401.0
62.0	449.0
63.0	378.0
64.0	390.0
65.0	370.0
66.0	359.0
67.0	369.0
68.0	307.0
69.0	352.0
70.0	406.0
71.0	340.0
72.0	316.0
73.0	336.0
74.0	305.0
75.0	268.0
76.0	267.0
77.0	247.0
78.0	266.0
79.0	325.0
80.0	264.0
81.0	319.0
82.0	278.0
83.0	267.0
84.0	237.0
85.0	246.0
86.0	313.0
87.0	262.0
88.0	234.0
89.0	202.0
90.0	243.0
91.0	181.0
92.0	202.0
93.0	245.0
94.0	163.0
95.0	175.0
96.0	180.0
97.0	196.0
98.0	156.0
99.0	158.0
100.0	152.0
101.0	195.0
102.0	161.0
103.0	173.0
104.0	135.0
105.0	125.0
106.0	135.0
107.0	149.0
108.0	134.0
109.0	142.0
110.0	112.0
111.0	137.0
112.0	130.0
113.0	145.0
114.0	123.0
115.0	104.0
116.0	116.0
117.0	98.0
118.0	95.0
119.0	111.0
120.0	105.0
121.0	105.0
122.0	103.0
123.0	95.0
124.0	84.0
125.0	96.0
126.0	65.0
127.0	66.0
128.0	85.0
129.0	87.0
130.0	73.0
131.0	78.0
132.0	74.0
133.0	84.0
134.0	77.0
135.0	68.0
136.0	59.0
137.0	65.0
138.0	93.0
139.0	74.0
140.0	74.0
141.0	67.0
142.0	99.0
143.0	52.0
144.0	53.0
145.0	53.0
146.0	49.0
147.0	68.0
148.0	55.0
149.0	72.0
150.0	50.0
151.0	52.0
152.0	62.0
153.0	45.0
154.0	47.0
155.0	51.0
156.0	50.0
157.0	38.0
158.0	31.0
159.0	34.0
160.0	33.0
161.0	35.0
162.0	50.0
163.0	62.0
164.0	34.0
165.0	47.0
166.0	38.0
167.0	47.0
168.0	42.0
169.0	35.0
170.0	26.0
171.0	34.0
172.0	26.0
173.0	17.0
174.0	18.0
175.0	22.0
176.0	18.0
177.0	38.0
178.0	63.0
179.0	40.0
180.0	40.0
181.0	45.0
182.0	47.0
183.0	29.0
184.0	27.0
185.0	27.0
186.0	30.0
187.0	22.0
188.0	20.0
189.0	25.0
190.0	26.0
191.0	26.0
192.0	24.0
193.0	15.0
194.0	15.0
195.0	12.0
196.0	21.0
197.0	22.0
198.0	23.0
199.0	18.0
200.0	17.0
201.0	30.0
202.0	25.0
203.0	19.0
204.0	21.0
205.0	19.0
206.0	22.0
207.0	26.0
208.0	27.0
209.0	22.0
210.0	18.0
211.0	18.0
212.0	27.0
213.0	24.0
214.0	44.0
215.0	37.0
216.0	28.0
217.0	17.0
218.0	16.0
219.0	9.0
220.0	5.0
221.0	8.0
222.0	13.0
223.0	9.0
224.0	11.0
225.0	5.0
226.0	9.0
227.0	14.0
228.0	10.0
229.0	9.0
230.0	11.0
231.0	10.0
232.0	11.0
233.0	14.0
234.0	7.0
235.0	10.0
236.0	8.0
237.0	6.0
238.0	15.0
239.0	10.0
240.0	10.0
241.0	11.0
242.0	10.0
243.0	17.0
244.0	9.0
245.0	14.0
246.0	8.0
247.0	20.0
248.0	6.0
249.0	10.0
250.0	14.0
251.0	14.0
252.0	10.0
253.0	5.0
254.0	18.0
255.0	9.0
256.0	13.0
257.0	18.0
258.0	21.0
259.0	24.0
260.0	20.0
261.0	15.0
262.0	11.0
263.0	9.0
264.0	16.0
265.0	9.0
266.0	13.0
267.0	6.0
268.0	8.0
269.0	5.0
270.0	6.0
271.0	8.0
272.0	8.0
273.0	7.0
274.0	12.0
275.0	4.0
276.0	8.0
277.0	12.0
278.0	5.0
279.0	8.0
280.0	12.0
281.0	12.0
282.0	9.0
283.0	13.0
284.0	4.0
285.0	12.0
286.0	8.0
287.0	7.0
288.0	9.0
289.0	27.0
290.0	34.0
291.0	18.0
292.0	17.0
293.0	9.0
294.0	6.0
295.0	6.0
296.0	10.0
297.0	15.0
298.0	8.0
299.0	11.0
300.0	12.0
301.0	5.0
302.0	6.0
303.0	3.0
304.0	4.0
305.0	1.0
306.0	9.0
307.0	10.0
308.0	22.0
309.0	6.0
310.0	5.0
311.0	5.0
312.0	8.0
313.0	3.0
314.0	5.0
315.0	5.0
316.0	3.0
317.0	3.0
318.0	3.0
319.0	6.0
320.0	7.0
321.0	5.0
322.0	9.0
323.0	4.0
324.0	10.0
325.0	3.0
326.0	8.0
327.0	8.0
328.0	9.0
329.0	8.0
330.0	6.0
331.0	8.0
332.0	7.0
333.0	2.0
334.0	4.0
335.0	5.0
336.0	10.0
337.0	8.0
338.0	7.0
339.0	5.0
340.0	8.0
341.0	7.0
342.0	12.0
343.0	9.0
344.0	14.0
345.0	7.0
346.0	13.0
347.0	21.0
348.0	17.0
349.0	15.0
350.0	6.0
351.0	11.0
352.0	14.0
353.0	12.0
354.0	13.0
355.0	8.0
356.0	7.0
357.0	12.0
358.0	10.0
359.0	5.0
360.0	3.0
361.0	7.0
362.0	6.0
363.0	10.0
364.0	13.0
365.0	13.0
366.0	8.0
367.0	5.0
368.0	6.0
369.0	9.0
370.0	4.0
371.0	2.0
372.0	10.0
373.0	11.0
374.0	6.0
375.0	8.0
376.0	11.0
377.0	8.0
378.0	6.0
379.0	5.0
380.0	7.0
381.0	13.0
382.0	13.0
383.0	6.0
384.0	8.0
385.0	14.0
386.0	8.0
387.0	5.0
388.0	7.0
389.0	5.0
390.0	3.0
391.0	3.0
393.0	2.0
394.0	6.0
395.0	4.0
396.0	5.0
397.0	1.0
398.0	4.0
399.0	9.0
400.0	12.0
401.0	5.0
402.0	4.0
403.0	6.0
404.0	7.0
405.0	2.0
406.0	3.0
407.0	4.0
408.0	1.0
409.0	5.0
411.0	3.0
412.0	4.0
413.0	2.0
414.0	6.0
415.0	1.0
416.0	4.0
417.0	7.0
418.0	8.0
419.0	7.0
420.0	2.0
421.0	3.0
422.0	5.0
423.0	2.0
424.0	6.0
425.0	3.0
426.0	5.0
427.0	10.0
428.0	3.0
429.0	6.0
430.0	3.0
432.0	4.0
433.0	5.0
434.0	4.0
435.0	5.0
436.0	4.0
437.0	3.0
438.0	5.0
439.0	5.0
440.0	4.0
441.0	5.0
442.0	4.0
443.0	2.0
444.0	1.0
445.0	2.0
446.0	1.0
447.0	4.0
448.0	1.0
449.0	3.0
450.0	2.0
451.0	3.0
452.0	4.0
453.0	3.0
454.0	2.0
455.0	1.0
456.0	3.0
457.0	4.0
458.0	1.0
459.0	3.0
460.0	2.0
461.0	3.0
462.0	3.0
463.0	6.0
464.0	4.0
465.0	4.0
466.0	2.0
467.0	6.0
468.0	8.0
469.0	4.0
470.0	4.0
471.0	2.0
472.0	7.0
473.0	4.0
474.0	5.0
476.0	1.0
477.0	2.0
478.0	3.0
479.0	5.0
480.0	5.0
481.0	1.0
482.0	3.0
483.0	1.0
484.0	4.0
485.0	6.0
487.0	3.0
488.0	2.0
489.0	1.0
490.0	4.0
491.0	2.0
492.0	3.0
493.0	4.0
494.0	4.0
495.0	3.0
496.0	3.0
497.0	1.0
498.0	6.0
499.0	3.0
500.0	2.0
501.0	3.0
502.0	7.0
503.0	6.0
504.0	4.0
505.0	5.0
506.0	3.0
507.0	4.0
508.0	3.0
509.0	3.0
510.0	5.0
511.0	5.0
512.0	1.0
513.0	2.0
514.0	3.0
515.0	2.0
