#Duplication rate	Coverage
1.0	4686659.0
2.0	200476.0
3.0	2049.0
4.0	614.0
5.0	305.0
6.0	205.0
7.0	116.0
8.0	94.0
9.0	74.0
10.0	49.0
11.0	37.0
12.0	20.0
13.0	27.0
14.0	24.0
15.0	10.0
16.0	15.0
17.0	10.0
18.0	7.0
19.0	5.0
20.0	7.0
21.0	7.0
22.0	5.0
23.0	2.0
24.0	1.0
25.0	3.0
26.0	2.0
27.0	3.0
28.0	2.0
29.0	1.0
30.0	2.0
31.0	3.0
32.0	2.0
33.0	1.0
34.0	1.0
35.0	1.0
36.0	1.0
37.0	2.0
38.0	0.0
39.0	1.0
40.0	0.0
41.0	2.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	2.0
46.0	1.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
