#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	2.615921281696791E-6
4.0	2.615921281696791E-6
5.0	7.847763845090374E-6
6.0	9.155724485938768E-6
7.0	9.155724485938768E-6
8.0	2.223533089442273E-5
9.0	4.054677986630026E-5
10.0	5.755026819732941E-5
11.0	1.543393556201107E-4
12.0	5.32339980825297E-4
13.0	0.0017317398884832756
14.0	0.005002949451245113
15.0	0.012918727249659603
16.0	0.02643780843346862
17.0	0.04538885015872102
18.0	0.0670146713945084
19.0	0.08599056437193693
20.0	0.09952403312279527
21.0	0.10315100797986786
22.0	0.1010111843714399
23.0	0.09190385442921252
24.0	0.07934481635578622
25.0	0.07256042451170559
26.0	0.047854355966720254
27.0	0.04187305195612053
28.0	0.03228700841934265
29.0	0.024218199225948894
30.0	0.0176483129269674
31.0	0.012901723761328573
32.0	0.009160956328502164
33.0	0.00632529765914284
34.0	0.0046262567866807765
35.0	0.003250282192508263
36.0	0.002228764932005666
37.0	0.0015486253987645005
38.0	0.0010882232531858652
39.0	6.77523611959469E-4
40.0	5.127205712125711E-4
41.0	3.1521851444446335E-4
42.0	1.9488613548641095E-4
43.0	1.2164033959890082E-4
44.0	7.586171716920697E-5
45.0	4.839454371139063E-5
46.0	2.7467173457816314E-5
47.0	3.1391055380361495E-5
48.0	2.092737025357433E-5
49.0	1.1771645767635562E-5
50.0	1.5695527690180748E-5
51.0	1.1771645767635562E-5
52.0	3.923881922545187E-6
53.0	9.15572448593877E-6
54.0	2.615921281696791E-6
55.0	2.615921281696791E-6
56.0	1.0463685126787166E-5
57.0	3.923881922545187E-6
58.0	3.923881922545187E-6
59.0	5.231842563393582E-6
60.0	3.923881922545187E-6
61.0	1.3079606408483956E-6
62.0	3.923881922545187E-6
63.0	5.231842563393582E-6
64.0	3.923881922545187E-6
65.0	2.615921281696791E-6
66.0	1.3079606408483956E-6
67.0	3.923881922545187E-6
68.0	1.3079606408483956E-6
69.0	2.615921281696791E-6
70.0	1.3079606408483956E-6
71.0	0.0
72.0	2.615921281696791E-6
73.0	2.615921281696791E-6
74.0	0.0
75.0	3.923881922545187E-6
76.0	0.0
77.0	1.3079606408483956E-6
78.0	0.0
79.0	0.0
80.0	2.615921281696791E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	1.3079606408483956E-6
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.7003488331029144E-5
