#Mapping quality	mapping quality
0.0	1.9397058E7
1.0	169443.0
2.0	365341.0
3.0	1.5299138E7
4.0	522350.0
5.0	317720.0
6.0	170483.0
7.0	1083281.0
8.0	3.1293529E7
9.0	271271.0
10.0	256767.0
11.0	1359547.0
12.0	590124.0
13.0	1619224.0
14.0	791816.0
15.0	1526927.0
16.0	1344094.0
17.0	418146.0
18.0	1067975.0
19.0	407703.0
20.0	430235.0
21.0	812103.0
22.0	781252.0
23.0	9.3944084E7
24.0	8.8463151E7
25.0	727243.0
26.0	367572.0
27.0	384348.0
28.0	1018233.0
29.0	2160624.0
30.0	1342624.0
31.0	1868671.0
32.0	3697383.0
33.0	2021312.0
34.0	1816320.0
35.0	1038556.0
36.0	1051396.0
37.0	125317.0
38.0	58616.0
39.0	30853.0
40.0	7.6625337E7
41.0	2563743.0
42.0	8.5117698E7
