#Insert size (bp)	insert size
19.0	2.0
27.0	1.0
28.0	1.0
29.0	2.0
30.0	1.0
31.0	9.0
32.0	5.0
33.0	1.0
34.0	1.0
35.0	3.0
36.0	2.0
37.0	2.0
38.0	4.0
39.0	7.0
40.0	5.0
41.0	6.0
42.0	11.0
43.0	9.0
44.0	12.0
45.0	28.0
46.0	21.0
47.0	27.0
48.0	25.0
49.0	42.0
50.0	36.0
51.0	51.0
52.0	41.0
53.0	46.0
54.0	67.0
55.0	56.0
56.0	68.0
57.0	91.0
58.0	119.0
59.0	120.0
60.0	171.0
61.0	174.0
62.0	183.0
63.0	163.0
64.0	208.0
65.0	182.0
66.0	206.0
67.0	230.0
68.0	253.0
69.0	366.0
70.0	392.0
71.0	352.0
72.0	345.0
73.0	366.0
74.0	397.0
75.0	425.0
76.0	461.0
77.0	429.0
78.0	647.0
79.0	820.0
80.0	1044.0
81.0	1031.0
82.0	829.0
83.0	640.0
84.0	604.0
85.0	587.0
86.0	630.0
87.0	711.0
88.0	754.0
89.0	1081.0
90.0	1460.0
91.0	1793.0
92.0	1824.0
93.0	1513.0
94.0	1239.0
95.0	1056.0
96.0	1099.0
97.0	1251.0
98.0	1492.0
99.0	1859.0
100.0	2220.0
101.0	2404.0
102.0	2399.0
103.0	2322.0
104.0	2158.0
105.0	1947.0
106.0	2005.0
107.0	2140.0
108.0	2340.0
109.0	2672.0
110.0	3048.0
111.0	3481.0
112.0	3464.0
113.0	3007.0
114.0	2769.0
115.0	2691.0
116.0	2763.0
117.0	3040.0
118.0	3231.0
119.0	3660.0
120.0	4654.0
121.0	6031.0
122.0	7156.0
123.0	6977.0
124.0	5347.0
125.0	4189.0
126.0	3822.0
127.0	4230.0
128.0	4539.0
129.0	5320.0
130.0	6349.0
131.0	8414.0
132.0	11524.0
133.0	14843.0
134.0	15766.0
135.0	13563.0
136.0	11699.0
137.0	12195.0
138.0	14693.0
139.0	18595.0
140.0	23187.0
141.0	27083.0
142.0	28438.0
143.0	28014.0
144.0	28322.0
